"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2478","Screenshots and reporting","Microsoft Edge","2026-04-01","passed","2026-04-01","","test-2.spec.ts","",""
"","2031","Capturing Text @Smoke","Microsoft Edge","2026-04-01","passed","2026-04-01","A suite of tests > Another suite, in a suite in a suite","test-2.spec.ts","",""
"","1737","Login test @smoke","Microsoft Edge","2026-04-01","passed","2026-04-01","","test-1.spec.ts","",""
"","1867","Generic methods","Microsoft Edge","2026-04-01","passed","2026-04-01","A suite of tests > Another suite, in a suite in a suite","test-2.spec.ts","",""
